Dataset name,K,Average and std CH,Average and std ARI
iris,2,"353.3674032251195, 5.684341886080802e-14","0.5681159420289854, 1.1102230246251565e-16"
iris,3,"323.1255881813119, 61.16564743124276","0.6624844060563302, 0.11815816029455016"
iris,5,"266.1321544168487, 18.92429271490548","0.5416946254051055, 0.0592335973468911"
iris,6,"232.93594783684388, 24.382327142790348","0.537067014876349, 0.07364279370815289"
iris,8,"212.56390164477693, 26.98099536585996","0.4491863639836087, 0.07736126228578463"
glass,2,"110.430400665278, 51.68561694705064","0.1367469915790417, 0.1049520878661912"
glass,3,"99.277807490882, 7.24228043180593","0.1921798694966814, 0.047607462104122346"
glass,5,"80.09977455459866, 6.8291364248530915","0.16167054066817294, 0.03285856903671769"
glass,6,"71.75746539041661, 6.015104216507235","0.15176790798400026, 0.023771155981759547"
glass,8,"63.21339974627354, 8.947898103129251","0.1721426398568306, 0.02591155911795347"
parkinsons,2,"84.20900640771679, 0.02368885511056118","0.0506038430896815, 0.00838962710326277"
parkinsons,3,"75.83926545796725, 0.14285282998349785","0.03610875036730088, 0.00761137037022039"
parkinsons,5,"64.96161014354797, 0.6160526420918489","0.0451354011572157, 0.05874540601361676"
parkinsons,6,"59.181743945814574, 3.3892220923051833","0.06042256380227385, 0.02337541871145247"
parkinsons,8,"50.94115063927805, 1.7647426266300663","0.0581018988940476, 0.01814930952140314"
